Experiment,Horizon,Model,avg_smape,med_smape,std_smape,avg_rmse,med_rmse,std_rmse
core_geo_search,1,GraphWaveNet,25.694325044332434,20.805744663033288,16.63955131194478,0.8875866590419146,0.6828422936243016,0.7820660943315569
core_geo_search,1,DCRNN,25.981528250505306,21.00644463346161,16.889667274442402,0.8943990098546802,0.6908924477150591,0.7789996115436465
core_geo_search,1,GConvLSTM,26.69820639479782,21.7793398070801,17.106883213875168,0.9114122845166718,0.6912457774902824,0.8062471972561404
core_geo_search,1,AGCRN,26.801929130643764,22.119933830367565,17.460524870693913,0.9176383508182532,0.7100659719149967,0.7854892326116568
core_geo_search,6,GraphWaveNet,30.112191226405006,24.805719663643213,20.36631900367717,0.98368862006932,0.7262462184152834,0.9167690322652094
core_geo_search,6,DCRNN,31.075390793083876,26.314007382626663,20.3511757753885,1.0133847702716117,0.7555348679072145,0.9366833830804487
core_geo_search,6,AGCRN,31.16646079187065,26.127186870898022,20.732681028186068,1.014251417639762,0.7796136505177979,0.9035380118216114
core_geo_search,6,GConvLSTM,31.293288322095826,26.2486074778293,20.604479735686162,1.0266285099106616,0.77544781281778,0.9710310960042478
core_geo_search,12,DCRNN,37.831476538641944,26.956260451753806,37.59632496353626,1.0294583548539662,0.653835454266245,1.2409609361873273
core_geo_search,12,GraphWaveNet,38.180503826792425,28.11759612094415,37.548218887820006,1.055856730722164,0.6617831523561741,1.289680176432992
core_geo_search,12,AGCRN,38.21050173254749,26.62665818584518,37.62738338617735,1.050583381911506,0.6820340244569869,1.159493261487402
core_geo_search,12,GConvLSTM,38.690311050554165,27.35283976053285,37.69886609509269,1.077846061055046,0.7097250863772249,1.2623145571962537
core_geo_sem_pc,1,DCRNN,25.80018050315148,20.971111168229374,16.794081398579966,0.8915933647350446,0.6794565076634989,0.7863076147660631
core_geo_sem_pc,1,GraphWaveNet,25.96001548810465,21.30025909324409,16.77043867203196,0.900482995110408,0.7005076730030262,0.7835678848495377
core_geo_sem_pc,1,GConvLSTM,26.529067851690566,21.642474219132676,17.03264581135531,0.9121675398600589,0.6936796972618644,0.8169741951334413
core_geo_sem_pc,1,AGCRN,26.915282679169785,22.190239602832836,17.42621124061431,0.9230097767418817,0.7155927382659663,0.7953220904170949
core_geo_sem_pc,6,DCRNN,30.32124761066749,24.99900480129095,20.417903305312283,0.9958127705614696,0.7372640255487933,0.9090971319701923
core_geo_sem_pc,6,AGCRN,30.741712986704812,25.779896583192585,20.50643686477466,1.002658288483836,0.7459517229976584,0.9382626847367236
core_geo_sem_pc,6,GConvLSTM,30.750243583627746,25.557098890918358,20.440503179444498,1.0132887107870725,0.7656937660140949,0.9602411873366062
core_geo_sem_pc,6,GraphWaveNet,30.880242745911545,25.342885672036992,20.46507575308828,1.018529823439934,0.754591365815934,0.9753790824850533
core_geo_sem_pc,12,GConvLSTM,37.55440594037359,26.816182953314684,37.49657213413438,1.0429573222316066,0.678253219732015,1.2243479952845084
core_geo_sem_pc,12,GraphWaveNet,38.35098919276399,28.264739069434153,37.486696028156956,1.0593875496002831,0.6795516253147009,1.2933810812289275
core_geo_sem_pc,12,DCRNN,38.40110548549256,26.724211245031338,37.871078508163166,1.043350714792153,0.6797809971308868,1.2337711971111733
core_geo_sem_pc,12,AGCRN,39.468558344683636,27.742849014169213,38.33910162964585,1.1066606170279005,0.7399232660461035,1.1997496515742816
