Experiment,Horizon,Model,avg_smape,med_smape,std_smape,avg_rmse,med_rmse,std_rmse
all_features,1,DCRNN,26.2932641463399,21.580132695257056,16.694193525020818,0.9033621891188072,0.6946620384052148,0.7825231331410791
all_features,1,GraphWaveNet,27.233510285206787,22.815002647288793,16.381410546075493,0.9457219497837707,0.7456860417107178,0.7878376952618906
all_features,1,AGCRN,28.817353380132726,24.512292767396595,17.031625305363715,0.9681518373426014,0.7642234785821487,0.7954752328390926
all_features,1,GConvLSTM,29.620487950382536,25.033033717792584,16.811594627338646,1.008702248802561,0.8046692174804464,0.8625246439059626
all_features,12,GraphWaveNet,38.55878897432529,28.936092679597564,37.16911229384593,1.06032864524998,0.6730586503779161,1.293140550431464
all_features,12,AGCRN,39.73034508569437,29.507161397605447,37.644098750374106,1.0809180742110527,0.7188103211720347,1.2457292674953853
all_features,12,DCRNN,40.80484842772638,32.60156455744546,37.087203264179145,1.088534493926822,0.7235648404744786,1.2567022470103242
all_features,12,GConvLSTM,46.438392202746115,37.07647220580568,38.78469578664119,1.287041153678324,0.8727526893239568,1.4750131118162213
core_dom,1,DCRNN,26.395523067375322,21.64702232106536,16.60848364473573,0.9138066188741162,0.7216425640279505,0.7733455140459052
core_dom,1,AGCRN,27.09480459029731,22.51007392681007,17.371461776262706,0.9329070971519161,0.729437062223882,0.8023737545649057
core_dom,1,GConvLSTM,28.50613545380349,24.2654495875583,16.24478290951791,0.9822957169526891,0.7781389133261122,0.7996441296466011
core_dom,1,GraphWaveNet,28.70829112879169,23.76710790793856,16.817378853460607,0.9904440901676249,0.8112006980388399,0.8001232625651696
core_dom,12,GraphWaveNet,37.81001798275568,28.071269425782617,37.25306362895149,1.0397414411186245,0.6375527559350989,1.2696839936383253
core_dom,12,AGCRN,38.03147519803989,27.353716299521523,37.9734000636688,1.062277227258797,0.6925543751162944,1.214482434184748
core_dom,12,DCRNN,38.32544511394422,27.159503857397528,37.82145522087155,1.0632604407880286,0.6893221255508399,1.2210583575431129
core_dom,12,GConvLSTM,40.32086297016405,30.23237304490459,38.43295687745674,1.159188869894966,0.7991603171163557,1.2435616473563038
core_dtw,1,DCRNN,25.850667460506365,20.997973267042166,16.81411129654783,0.8929447978242319,0.6859678277168992,0.7864407759613095
core_dtw,1,GraphWaveNet,25.958310279999964,21.218213994801115,16.726084212175117,0.8988732113793708,0.6891553121563354,0.7893472317168209
core_dtw,1,GConvLSTM,27.157402344867943,22.285245685747824,17.00045648727806,0.9347805192759961,0.7071702752488868,0.8470434801762159
core_dtw,1,AGCRN,27.291430851237834,22.899711980713086,17.403415686880404,0.9274971851833781,0.7288145714659482,0.7819711552334767
core_dtw,6,DCRNN,30.96175430190002,26.02502288214616,20.420164335241658,1.0258287380295044,0.7510186278422187,0.9603606451294976
core_dtw,6,GraphWaveNet,31.090140450989885,26.16881682394653,20.460375018376244,1.020549066621942,0.7827306868290089,0.9349443160548412
core_dtw,6,AGCRN,31.31121686591953,25.9206265819024,20.65710821643693,1.0142923679354803,0.766808250772581,0.9002632189007093
core_dtw,6,GConvLSTM,32.19565356800137,27.277314802253077,20.599430545487927,1.0638384580613134,0.8120124355208495,0.9923195292218298
core_dtw,12,GraphWaveNet,37.869072359382336,27.888607173529216,37.35401443846619,1.0460856194303167,0.6582497041299946,1.2328659729787665
core_dtw,12,DCRNN,38.834106713194956,28.01558605716589,37.89520386267807,1.085455036810493,0.7058377569486929,1.2436273842124543
core_dtw,12,AGCRN,39.462051348802895,28.690849992748607,37.83480097066623,1.092495271558977,0.7177375233696388,1.2061273813614426
core_dtw,12,GConvLSTM,47.799280549282614,38.66704785483493,39.36448034533516,1.327282905976466,0.9162280538567882,1.5021303208748011
core_geo,1,GraphWaveNet,25.744993933872383,20.819271566117166,16.727288563840595,0.8913787608880893,0.6848427389029563,0.7845156569307484
core_geo,1,DCRNN,25.854459196811806,20.83801019447327,16.886118373546907,0.8931150589181763,0.6867127555400961,0.7850908204556062
core_geo,1,GConvLSTM,26.306656354950448,21.404179174285712,16.982282082346615,0.905573548186422,0.6871476399413631,0.8085458531830917
core_geo,1,AGCRN,26.73640249623689,21.93575243979008,17.59935295320494,0.9173034872245,0.7204885050804506,0.7924293580990143
core_geo,6,GraphWaveNet,30.30801831012385,24.42314715748599,20.393973586228768,0.9979802836287165,0.7327781665473967,0.9387684765526145
core_geo,6,AGCRN,30.797816341070128,25.599457587109086,20.601293110568626,0.9995784438577874,0.7463225861451466,0.9039781570087935
core_geo,6,DCRNN,30.833517493633227,25.666386284892912,20.292690211681283,1.0143939426276753,0.734927199943939,0.9476360153455416
core_geo,6,GConvLSTM,31.234764732758656,26.043539587435387,20.55691224315217,1.0215711809728008,0.7666077098361821,0.9736645918687121
core_geo,12,GConvLSTM,37.85809001725939,26.84885947875398,37.388530414074516,1.0451865133594367,0.6887730982464935,1.219619360040251
core_geo,12,GraphWaveNet,38.04435883282628,27.94232641510342,37.1051141624313,1.045831829750753,0.6591370261804284,1.2652070690175257
core_geo,12,AGCRN,38.07949282104013,27.181389027573093,37.409853908283544,1.0453750227576568,0.6863742929469292,1.1681225661299124
core_geo,12,DCRNN,38.84315075069192,28.24306765995169,37.67001146477746,1.045995662051297,0.6655334189892619,1.270057587443327
core_lags,1,GraphWaveNet,26.045675548551124,21.215179835111297,16.799215462654775,0.9057816525319151,0.6958409168884199,0.8159379873956069
core_lags,1,DCRNN,26.098234245970925,20.993032820979096,17.040438990588715,0.8980280472431931,0.6828044945034232,0.7894732394686206
core_lags,1,GConvLSTM,26.882911216173945,22.05795115569515,17.115041823310744,0.9357434223045816,0.6995805863930423,0.8767235968938202
core_lags,1,AGCRN,27.266944851110065,22.538973069684197,17.40588011626212,0.9406662234437616,0.7298739757813019,0.8197840130352008
core_lags,6,GraphWaveNet,30.777663449766155,25.47686793728604,20.16379335672421,1.0253200749229796,0.7308834804349414,1.0179553008798479
core_lags,6,AGCRN,31.496404255182682,26.158509128650596,20.50371031311066,1.0293792717411188,0.7794580915901433,0.9346496997109824
core_lags,6,DCRNN,31.851591491228156,26.879859331226296,19.918365871247925,1.060227238408262,0.7495995931607625,1.0433162550632962
core_lags,6,GConvLSTM,32.847873479443884,28.340132604785424,20.187091125193728,1.0885243886020546,0.7828757438445486,1.0889233372859848
core_lags,12,GraphWaveNet,37.93736405365758,27.884452147745968,37.590568932600796,1.0484696969035971,0.6171017004837518,1.294452423075345
core_lags,12,GConvLSTM,38.496194348656175,28.356277658862062,37.33550905059392,1.0628321770571363,0.62888146701337,1.3547690344569967
core_lags,12,AGCRN,38.79938686945265,27.8301824742102,37.57584222278178,1.0717766506160409,0.6729835933824568,1.2829084385151184
core_lags,12,DCRNN,40.339382974712436,30.42757270244384,37.08309918959952,1.0807930978190434,0.6764180958739896,1.2576803683402669
core_only,1,GraphWaveNet,25.79932075645081,21.02186233542483,16.783054183005813,0.8927857732502731,0.694431587922312,0.7793693232624256
core_only,1,DCRNN,26.06320296410043,20.939866043208653,17.200415861887148,0.8968890906490086,0.6881609808644855,0.7852590294769063
core_only,1,GConvLSTM,26.628959070823406,21.604162023728815,17.417312172959495,0.9116748813535809,0.6870876895422572,0.8156218709154138
core_only,1,AGCRN,26.72189754200173,22.043758630245456,17.381944855010897,0.9199359336496905,0.7180151851444115,0.7977610898064504
core_only,6,GraphWaveNet,30.787917683815678,25.153559103097162,20.727938605128223,1.0150317342556945,0.7260519105309832,0.9981106778748515
core_only,6,DCRNN,31.866288188204784,26.950739784943288,20.58901709907621,1.023896505570377,0.7431356667108567,0.9633912638677734
core_only,6,AGCRN,32.013700807555836,26.920299718866254,20.490412787423033,1.0459990259540743,0.7877036143186631,0.9892607521510863
core_only,6,GConvLSTM,32.07222869968795,26.74847374931976,20.879881450374715,1.047969540788415,0.7706061691597544,1.0340986093295534
core_only,12,AGCRN,37.98366433698497,27.22373123079005,37.26917456960786,1.0392814133783472,0.6572510791325161,1.239061086289175
core_only,12,GConvLSTM,38.27937100812508,27.219339039226263,37.41862885451173,1.054844332590939,0.6919531764564335,1.2673688928814046
core_only,12,GraphWaveNet,38.36311130356576,28.939230586073222,37.1198740565106,1.0522773070396378,0.6498997484235576,1.2859540172203743
core_only,12,DCRNN,38.48259959798864,27.898579659992116,37.674671413717896,1.0568930784472197,0.6877015232546135,1.2174083952676475
core_search,1,GraphWaveNet,25.69159585912017,20.794891627866438,16.88322847617544,0.8870138561903501,0.6853814148081571,0.7763781753820018
core_search,1,DCRNN,26.126807638409293,20.888066315438568,17.21792569863895,0.89625075710457,0.686167540128056,0.7830079728160967
core_search,1,GConvLSTM,26.686360188193504,21.722121663494782,17.35110990292107,0.9107556874963022,0.6893040676075092,0.8111208426615245
core_search,1,AGCRN,26.775305950907363,21.986262989684153,17.392834294774904,0.9199725713673629,0.7147384621965671,0.8027526329590636
core_search,12,GConvLSTM,38.57490604854175,27.993971013359918,37.42479928491392,1.0659043653243385,0.661234704323628,1.2969579423994433
core_search,12,AGCRN,38.67032186068731,27.71053142505298,37.710962932281134,1.0662111890842563,0.6970370973628519,1.179584088026789
core_search,12,DCRNN,38.87973083393974,27.72233532468081,37.84638322511446,1.0755615588402168,0.7020080753198727,1.228868994562284
core_search,12,GraphWaveNet,38.944090057176886,29.463953074043044,37.52938762244124,1.0688595131825995,0.6745355508359152,1.3028639057052778
core_sem_pc,1,GraphWaveNet,25.796490967145804,21.14642162675748,16.5933817443218,0.8952492844749532,0.6909084303857153,0.7762948841973281
core_sem_pc,1,DCRNN,26.001411016731723,20.83707426364473,17.192317547414984,0.8944392543285992,0.6840748532516913,0.7798027322843403
core_sem_pc,1,GConvLSTM,26.518286391739775,21.554855445631016,17.311826125135333,0.9106105662908778,0.6876362417630066,0.8179765216006223
core_sem_pc,1,AGCRN,26.917455602315705,22.292503986600288,17.20820190224513,0.9235468069256032,0.7179901624174475,0.7923541935581965
core_sem_pc,12,AGCRN,38.275250845226125,27.269423301849738,37.91421497541328,1.0566749429191473,0.6931130845626126,1.1861895781710083
core_sem_pc,12,DCRNN,38.48333014778952,27.269796836847664,37.67746348110888,1.0523760088795622,0.7074945922716485,1.2238144238495539
core_sem_pc,12,GraphWaveNet,38.78748064010738,29.091908193973413,37.336648104672584,1.0667919090419986,0.6677737330893833,1.2860387355992104
core_sem_pc,12,GConvLSTM,39.54655162397177,29.180125530364144,37.56314205744667,1.086009416883301,0.7419303169133551,1.291316738578269
core_sim25,1,DCRNN,26.08881999746064,21.18574410917529,16.812470363961985,0.8969229714925616,0.6880178235803744,0.7806848488002586
core_sim25,1,GraphWaveNet,26.512077474315408,21.50757087844818,17.129320442858905,0.9096599163376512,0.6953081648686109,0.8010553337072214
core_sim25,1,GConvLSTM,26.515389133810103,21.699404339207206,17.039317028994116,0.9082198298555647,0.6875058426647241,0.8113426564916362
core_sim25,1,AGCRN,26.90573307637924,22.09697833984479,17.41325160803851,0.9217250006365759,0.7067688146908093,0.8186098499854277
core_sim25,12,GConvLSTM,37.959969302386284,26.947973869873426,37.52341365859269,1.0397917576885591,0.6728878100532385,1.215071010186606
core_sim25,12,GraphWaveNet,38.1947116522259,28.32218417302736,37.08974695425812,1.0509623619225137,0.6522286007187645,1.2891770613237785
core_sim25,12,AGCRN,38.37195674550566,27.70952987271153,37.80369498273374,1.0638746183596337,0.7065126988511625,1.2366233645497986
core_sim25,12,DCRNN,39.17718405410895,28.3803055977368,38.11351055564243,1.0887909739506159,0.7243697319709401,1.2052171452288611
