Quadrant,h=6 Best FS,h=6 Core,h=6 Best-Combined,h=6 Δ,h=12 Best FS,h=12 Core,h=12 Best-Combined,h=12 Δ
Low Mean / Low Vol,Core + Geo + Sem PC,26.2374717591692,24.75419153816173,-1.483280221007469,Core + Geo + Search,29.171952437081124,29.415308718021215,0.2433562809400911
Low Mean / High Vol,Core + Geo + Sem PC,38.311977823586695,37.14525071433556,-1.1667271092511342,Core + Geo + Search,46.126807762417215,45.801977862365504,-0.32482990005171075
High Mean / Low Vol,Core + Geo + Sem PC,22.932378871381786,23.00151814999353,0.0691392786117433,Core + Geo + Search,28.44719795276074,28.835768572239893,0.38857061947915383
High Mean / High Vol,Core + Geo + Sem PC,39.44853936600181,38.234373744177574,-1.214165621824236,Core + Geo + Search,50.02641264211621,49.48104494676032,-0.5453676953558926
