exp_group,experiment,feature_set,feature_set_label,model,horizon,seg_type,segment,RMSE,MAE,sMAPE,med_node_RMSE,n_keywords
exp3_tensors,core_country_search,core_country_search,Core + Country + Search,DCRNN,1,quadrant,High CPC / High Vol,1.9758871743005118,1.2650035484268585,33.40341425071591,1.3379144996959558,402
exp3_tensors,core_country_search,core_country_search,Core + Country + Search,GraphWaveNet,1,quadrant,High CPC / High Vol,2.0055043453496473,1.2903277917551883,34.08312513573701,1.347216206634878,402
ablation_tensors,core_dom,core_dom,Core + Domain,AGCRN,1,quadrant,High CPC / High Vol,2.0495145490515836,1.329861409569238,34.5160162172436,1.4470555532083247,402
ablation_tensors,core_dom,core_dom,Core + Domain,DCRNN,1,quadrant,High CPC / High Vol,1.9712307748808104,1.284210786068628,33.755054093678,1.3499539859308158,402
ablation_tensors,core_dom,core_dom,Core + Domain,GConvLSTM,1,quadrant,High CPC / High Vol,2.059134102151977,1.3591091421650108,35.10151309807819,1.452669363837244,402
ablation_tensors,core_dom,core_dom,Core + Domain,GraphWaveNet,1,quadrant,High CPC / High Vol,2.0725020291975453,1.36210887902379,35.51404752372774,1.4145954329664108,402
ablation_tensors,core_dtw,core_dtw,Core + DTW,AGCRN,1,quadrant,High CPC / High Vol,2.006157955903491,1.3159151525516992,34.735497110291206,1.3980791201768894,402
ablation_tensors,core_dtw,core_dtw,Core + DTW,DCRNN,1,quadrant,High CPC / High Vol,1.98643013208909,1.2607591085740546,33.31173638865988,1.3610324041754716,402
ablation_tensors,core_geo,core_geo,Core + Geo,AGCRN,1,quadrant,High CPC / High Vol,2.0123424524351847,1.297380176629167,34.28636209750569,1.3671303577902791,402
ablation_tensors,core_geo,core_geo,Core + Geo,DCRNN,1,quadrant,High CPC / High Vol,1.9815139315217474,1.2615603345374202,33.39688013625183,1.3396037868185502,402
ablation_tensors,core_geo,core_geo,Core + Geo,GConvLSTM,1,quadrant,High CPC / High Vol,2.0383194520930115,1.2775767238523084,33.69396216091834,1.3490718036292741,402
ablation_tensors,core_geo,core_geo,Core + Geo,GraphWaveNet,1,quadrant,High CPC / High Vol,1.9815670986238898,1.259814446464955,33.27100189417267,1.3326923130316473,402
ablation2_tensors,core_geo_search,core_geo_search,Core + Geo + Search,AGCRN,1,quadrant,High CPC / High Vol,2.003602056141411,1.3014127725675388,34.287266456667744,1.3743174171363877,402
ablation2_tensors,core_geo_search,core_geo_search,Core + Geo + Search,DCRNN,1,quadrant,High CPC / High Vol,1.9698105930914709,1.2596632889126647,33.34666054172333,1.3360610560876303,402
ablation2_tensors,core_geo_search,core_geo_search,Core + Geo + Search,GConvLSTM,1,quadrant,High CPC / High Vol,2.0404301218775673,1.2764856810281198,33.679604357195835,1.3645546996858415,402
ablation2_tensors,core_geo_search,core_geo_search,Core + Geo + Search,GraphWaveNet,1,quadrant,High CPC / High Vol,1.9747526324113924,1.2553338963449108,33.215790955666904,1.3128475506726565,402
ablation2_tensors,core_geo_sem_pc,core_geo_sem_pc,Core + Geo + Sem PC,AGCRN,1,quadrant,High CPC / High Vol,2.0241911494005986,1.312156539118757,34.38791867000493,1.4045893644411236,402
ablation2_tensors,core_geo_sem_pc,core_geo_sem_pc,Core + Geo + Sem PC,DCRNN,1,quadrant,High CPC / High Vol,1.9837679759098164,1.2577954148230597,33.28231847059718,1.3481350906961156,402
ablation2_tensors,core_geo_sem_pc,core_geo_sem_pc,Core + Geo + Sem PC,GConvLSTM,1,quadrant,High CPC / High Vol,2.0598170306118093,1.2881073985243896,33.836708126372756,1.3531674968054004,402
ablation2_tensors,core_geo_sem_pc,core_geo_sem_pc,Core + Geo + Sem PC,GraphWaveNet,1,quadrant,High CPC / High Vol,1.9855599906543688,1.2738391892374976,33.5333673822921,1.3547555181637119,402
ablation_tensors,core_lags,core_lags,Core + Lags,AGCRN,1,quadrant,High CPC / High Vol,2.084377532134804,1.3404788291486114,34.9126651178029,1.4295425880580281,402
ablation_tensors,core_lags,core_lags,Core + Lags,DCRNN,1,quadrant,High CPC / High Vol,1.9946810123019705,1.2694487345030605,33.646446385912476,1.3672901508865554,402
ablation_tensors,core_lags,core_lags,Core + Lags,GConvLSTM,1,quadrant,High CPC / High Vol,2.1939032421496036,1.3643752970284888,35.09875604228891,1.414302455273249,402
ablation_tensors,core_lags,core_lags,Core + Lags,GraphWaveNet,1,quadrant,High CPC / High Vol,2.05153908532373,1.285920582557413,33.79069043286916,1.3508456857822113,402
ablation_tensors,core_only,core_only,Core (CPC only),DCRNN,1,quadrant,High CPC / High Vol,1.9828085519731957,1.2697962029889782,33.612757526020744,1.3721099236701488,402
ablation_tensors,core_only,core_only,Core (CPC only),GraphWaveNet,1,quadrant,High CPC / High Vol,1.97057926860289,1.2605239419362944,33.256425876510924,1.3272268293278562,402
ablation_tensors,core_search,core_search,Core + Search,AGCRN,1,quadrant,High CPC / High Vol,2.0379020142877193,1.3077591723111968,34.44562014308455,1.380953723709938,402
ablation_tensors,core_search,core_search,Core + Search,GraphWaveNet,1,quadrant,High CPC / High Vol,1.961151499940975,1.2496001176640192,33.03557222890925,1.3216251944291821,402
ablation_tensors,core_sem_pc,core_sem_pc,Core + Sem PC,AGCRN,1,quadrant,High CPC / High Vol,2.020294141027,1.318130346660972,34.502403109694754,1.4227890087267987,402
ablation_tensors,core_sem_pc,core_sem_pc,Core + Sem PC,DCRNN,1,quadrant,High CPC / High Vol,1.969775817024779,1.2647224797651628,33.434794679932125,1.3511142531396687,402
ablation_tensors,core_sem_pc,core_sem_pc,Core + Sem PC,GConvLSTM,1,quadrant,High CPC / High Vol,2.059541388586888,1.286610363470789,34.022720655117475,1.36573967032847,402
ablation_tensors,core_sem_pc,core_sem_pc,Core + Sem PC,GraphWaveNet,1,quadrant,High CPC / High Vol,1.9687757182225036,1.2661063554177021,33.348443001316305,1.3340379904610067,402
ablation_tensors,core_sim25,core_sim25,Core + Sim25,AGCRN,1,quadrant,High CPC / High Vol,2.0698301723703416,1.3048762577839226,34.300317202437874,1.35503264675665,402
ablation_tensors,core_sim25,core_sim25,Core + Sim25,DCRNN,1,quadrant,High CPC / High Vol,1.9772172687929597,1.2593951216181136,33.307447475835446,1.350455567338805,402
ablation_tensors,core_sim25,core_sim25,Core + Sim25,GConvLSTM,1,quadrant,High CPC / High Vol,2.047225167240106,1.2795290418656353,33.671314147557496,1.3564640695936112,402
ablation_tensors,core_sim25,core_sim25,Core + Sim25,GraphWaveNet,1,quadrant,High CPC / High Vol,2.0227962399368593,1.2845247748825248,33.91043690102359,1.373202676188129,402
exp1_tensors,exp1_tensors,all_features,All Features,A3TGCN,1,quadrant,High CPC / Low Vol,1.5107018784186672,1.157519198914108,32.4587550153746,1.2153350645684284,504
exp2_tensors,exp2_tensors,all_features,All Features,A3TGCN,1,quadrant,High CPC / Low Vol,1.5367723843725278,1.1747551368964935,32.76781808768308,1.2346474825316955,504
ablation_tensors,all_features,all_features,All Features,AGCRN,1,quadrant,High CPC / Low Vol,1.0742616490813306,0.7643248443718512,20.894458462848487,0.8348095404414895,504
exp1_tensors,exp1_tensors,all_features,All Features,AGCRN,1,quadrant,High CPC / Low Vol,1.0581458030917286,0.7575079454820713,20.641444022591923,0.8386238988348984,504
exp2_tensors,exp2_tensors,all_features,All Features,AGCRN,1,quadrant,High CPC / Low Vol,1.0601202605242541,0.7564293136839902,20.61931403994095,0.8230946516212339,504
ablation_tensors,all_features,all_features,All Features,DCRNN,1,quadrant,High CPC / Low Vol,1.0049367361883537,0.7184129813572349,19.61282590545053,0.7691422903815389,504
exp1_tensors,exp1_tensors,all_features,All Features,DCRNN,1,quadrant,High CPC / Low Vol,1.0441342442545258,0.7628410980050743,20.533911881703286,0.84195563057821,504
exp2_tensors,exp2_tensors,all_features,All Features,DCRNN,1,quadrant,High CPC / Low Vol,1.0036757948669106,0.7160127431021053,19.52443460090467,0.7762897293127164,504
ablation_tensors,all_features,all_features,All Features,GConvLSTM,1,quadrant,High CPC / Low Vol,1.1477308625783629,0.8401837020420012,22.641714094097683,0.9232786464174345,504
exp1_tensors,exp1_tensors,all_features,All Features,GConvLSTM,1,quadrant,High CPC / Low Vol,1.0510139566094823,0.7555783394852571,20.504411655414145,0.8262275216155115,504
exp2_tensors,exp2_tensors,all_features,All Features,GConvLSTM,1,quadrant,High CPC / Low Vol,1.0660117976999404,0.7804187477066308,21.105326634630515,0.8368870565723427,504
ablation_tensors,all_features,all_features,All Features,GraphWaveNet,1,quadrant,High CPC / Low Vol,1.076790427320743,0.7818562713722733,20.863080260315893,0.8646734205475706,504
exp1_tensors,exp1_tensors,all_features,All Features,GraphWaveNet,1,quadrant,High CPC / Low Vol,1.0816787109245067,0.7903679917942449,21.05062222429214,0.8515984492250881,504
exp2_tensors,exp2_tensors,all_features,All Features,GraphWaveNet,1,quadrant,High CPC / Low Vol,1.0179094258033516,0.7235844316287844,19.646980546447086,0.7827103781883682,504
