exp_group,experiment,feature_set,feature_set_label,model,RMSE_h1,RMSE_h6,RMSE_h12,MAE_h1,MAE_h6,MAE_h12,sMAPE_h1,sMAPE_h6,sMAPE_h12,med_node_RMSE_h1,med_node_RMSE_h6,med_node_RMSE_h12,n_keywords_h1,n_keywords_h6,n_keywords_h12
exp3_tensors,core_continent,core_continent,Core + Continent,AGCRN,1.2190870645287732,1.350270426142257,1.551543084831962,0.7273447641650579,0.8352088784155324,1.0386337281479099,26.94984077972012,30.983907806635617,37.88529787267681,0.7241963407702696,0.7700185916260798,0.7065986212646728,1811.0,1811.0,1811.0
exp3_tensors,core_continent,core_continent,Core + Continent,DCRNN,1.190234345856406,1.37865587495526,1.5879373783117996,0.6977220429058029,0.8317160381150321,1.0299132562519886,25.98752772270338,30.871464433286395,37.52203927460336,0.6816624889542661,0.7559348906462953,0.6628388344329607,1811.0,1811.0,1811.0
exp3_tensors,core_continent,core_continent,Core + Continent,GConvLSTM,1.2157566742664754,1.3832796613769596,1.594836399575231,0.7105882578021409,0.8283313913933378,1.0504595132282306,26.561906973968817,30.688134840846722,38.49249025939098,0.6990462433831325,0.7453916369322843,0.7168786136539369,1811.0,1811.0,1811.0
exp3_tensors,core_continent,core_continent,Core + Continent,GraphWaveNet,1.1891387833164992,1.4153440746290487,1.5599045670078313,0.6998993980404922,0.8403274353972319,1.0497527559077906,25.946712847647635,31.041679736757526,37.81392282599767,0.6968958920452204,0.746112656646987,0.692910268694344,1811.0,1811.0,1811.0
exp3_tensors,core_continent_search,core_continent_search,Core + Continent + Search,AGCRN,1.2127158349165998,1.3480181885067117,1.5808862614484145,0.7232387083982816,0.8297547699879513,1.030536515342596,26.934850474353624,30.838504490580554,37.77410099452162,0.7169758055565926,0.7681322057443638,0.669062688672204,1811.0,1811.0,1811.0
exp3_tensors,core_continent_search,core_continent_search,Core + Continent + Search,DCRNN,1.1859730941389732,1.386162234449788,1.5792229703905674,0.6987011658613299,0.8422242206264042,1.040765401825697,26.114615210897384,31.434656589249617,37.82225981052861,0.6839627205022485,0.7606293092589278,0.6866344838739682,1811.0,1811.0,1811.0
exp3_tensors,core_continent_search,core_continent_search,Core + Continent + Search,GConvLSTM,1.2156391717296124,1.4002085926694972,1.5966078690249281,0.7136116843241622,0.8509689264704144,1.0540998942845985,26.777253876228972,31.34111992207599,38.33244614579179,0.6988755346977614,0.7642605984859255,0.7023005335763566,1811.0,1811.0,1811.0
exp3_tensors,core_continent_search,core_continent_search,Core + Continent + Search,GraphWaveNet,1.1808681295875891,1.3766832478690456,1.5666083629326237,0.6933858287780229,0.8233787399913857,1.065865479482127,25.82103652924172,30.57399602167384,38.20573008962364,0.6862116179258033,0.7382657559026609,0.7140435355039796,1811.0,1811.0,1811.0
exp3_tensors,core_continent_sempc,core_continent_sempc,Core + Continent + Sem PC,AGCRN,1.2122078926256055,1.3584635329913455,1.6006953337768564,0.7247181544477811,0.8287258760795359,1.0550879999822425,26.865214188898634,30.760893793495242,38.155044924048646,0.715280238702983,0.7582736474297948,0.6751661952101462,1811.0,1811.0,1811.0
exp3_tensors,core_continent_sempc,core_continent_sempc,Core + Continent + Sem PC,DCRNN,1.1879367208386633,1.3627982102597531,1.593262857284106,0.6997099520354136,0.8228974792018979,1.0262923800869652,26.035591967483995,30.421231778761094,37.46350738709559,0.6900459760538805,0.7371099992027647,0.6627499066748073,1811.0,1811.0,1811.0
exp3_tensors,core_continent_sempc,core_continent_sempc,Core + Continent + Sem PC,GConvLSTM,1.215560989074302,1.4084150726263684,1.630828380924116,0.7120544800178357,0.8493436970980384,1.072602559286025,26.640131714047357,31.276319839162642,39.19145815640605,0.7014143174708032,0.7654630169198358,0.724397052883027,1811.0,1811.0,1811.0
