exp_group,experiment,model,horizon,seg_type,segment,RMSE,MAE,sMAPE,med_node_RMSE,n_keywords,feature_set,feature_set_label
ablation2_tensors,core_geo_search,DCRNN,1,tercile,High,1.588599721818819,0.9003771068789145,35.161622792810945,0.8741782288292965,604,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,DCRNN,1,quadrant,Low CPC / Low Vol,0.5508740255035517,0.3616689172145385,19.97866893492105,0.36634577243985617,401,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,DCRNN,1,quadrant,Low CPC / High Vol,0.8384010202364054,0.5204894906372729,32.03184478095499,0.5629010854552967,504,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,DCRNN,1,quadrant,High CPC / Low Vol,0.9927239933761721,0.6939833786965268,18.939782304929327,0.7735832765381604,504,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,DCRNN,1,quadrant,High CPC / High Vol,1.9698105930914709,1.2596632889126647,33.34666054172333,1.3360610560876303,402,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,DCRNN,6,overall,All,1.3758247707870035,0.8338400333252454,31.10986036737649,0.7533608881704297,1811,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,DCRNN,6,tercile,Low,0.8730147987884865,0.6228078443664479,22.35715806490194,0.6085678296798702,604,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,DCRNN,6,tercile,Medium,1.209131643979871,0.8115188520711114,30.178948644506313,0.7907073782765263,603,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,DCRNN,6,tercile,High,1.858443926224305,1.0671564479400741,40.79193314814692,0.9451662052120757,604,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,DCRNN,6,quadrant,Low CPC / Low Vol,0.6419673203944586,0.46063551184874585,26.06642918074148,0.4482051479341968,401,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,DCRNN,6,quadrant,Low CPC / High Vol,0.901412659594698,0.6114358264495928,37.8497018494266,0.6132846243366767,504,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,DCRNN,6,quadrant,High CPC / Low Vol,1.1336288596904973,0.8194220337128711,22.795044968965918,0.861266067190403,504,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,DCRNN,6,quadrant,High CPC / High Vol,2.342315428367234,1.5030276084049512,38.11533986908374,1.496115008754728,402,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,12,overall,All,1.6549293465752466,1.074715604925529,38.730477667479654,0.7077874200044096,1811,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,12,tercile,Low,1.2046860644823316,0.8704996185589792,28.75223472987268,0.6237451469151564,604,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,12,tercile,Medium,1.536733358531284,1.050312535295161,36.784876204367094,0.7505656048798217,603,core_geo_search,Core + Geo + Search
