Horizon,Model,Avg_Node_SMAPE,Median_Node_SMAPE,Std_Node_SMAPE,Avg_Node_RMSE,Median_Node_RMSE,Std_Node_RMSE
1,DCRNN,26.19897387069463,21.380564004970022,16.60216708490934,0.9006171340010343,0.7006118339704146,0.7753310850171393
1,GraphWaveNet,26.757591841714632,21.95009248692725,16.621913345018957,0.921070182527671,0.7170069726081681,0.8011584281322863
1,GConvLSTM,27.84783882860053,23.462958761710684,16.580840013651255,0.9544880233190091,0.7461394543522991,0.8307603331524868
1,AGCRN,28.101459831791566,23.63184192817452,17.36739228737696,0.9548151913692375,0.74363380101014,0.8082703319643881
1,STGCN,28.42694955640779,23.87132505964542,16.91748671805749,0.9621540260472102,0.7427766707653563,0.8148045278216558
1,STConv,29.695728948861724,25.45429469246889,17.078391822279997,1.0187636972887049,0.7853839716200629,0.8856507148827597
1,MTGNN,30.3944799353986,25.910931369390415,17.63522154881862,1.0257894000018635,0.8175992037645642,0.8277834301494734
1,A3TGCN,38.81570790814669,33.85967203427627,20.530242928389402,1.2521016953815194,1.0194304513931611,0.9802651951738569
6,GraphWaveNet,30.585341785875176,25.370344444441965,20.14030330411853,1.0164025599981723,0.7296223765415929,1.002403276121684
6,DCRNN,30.977465174949437,25.970256457850915,20.369154338760623,1.0114596527263164,0.7817666841835041,0.8710553740293656
6,AGCRN,31.80312692513649,26.228926183538327,20.8715309168117,1.0410117589587895,0.7679291366242499,1.0006908576069087
6,GConvLSTM,32.52224954307949,27.145045980528128,20.52140249738136,1.0627847692943149,0.8176760752971654,0.9798608481303439
6,STConv,33.24976442675394,28.279090560458553,20.831681612740574,1.0790679896969873,0.8075226912442046,0.9827935184930405
6,STGCN,33.77910806387314,28.848872785075823,20.68808332231337,1.1027334741218848,0.7870228723355449,1.0824520231751757
6,MTGNN,34.756381233968966,29.230932492737356,22.036620231070312,1.1460773854253588,0.8872331130634368,0.9558527180934403
6,A3TGCN,44.55575550302066,39.753509704954205,24.55457204732072,1.3953911880245886,1.016756593779811,1.3165231649848341
12,AGCRN,39.35470123548728,30.362828940057433,36.93277090911066,1.0578916885439698,0.7019710975692544,1.2347566154088756
12,DCRNN,39.53649338820643,30.94478747364249,36.808468836772974,1.0737974289229482,0.6897114785635803,1.2584995418159788
12,STConv,41.20080454721026,33.11427751027837,37.160164156253,1.1124896070738666,0.776206382324617,1.1999998142807355
12,GConvLSTM,41.41754992852662,31.06925929698538,38.79715734386018,1.1749662727254067,0.8091521079241337,1.263691869511098
12,GraphWaveNet,41.421312115476944,31.839851319606826,37.776442620885604,1.1524627833383911,0.7299103796185036,1.389377473625142
12,MTGNN,46.3212092701567,35.95014107004071,39.860909310353364,1.4497866542014053,0.9336111020296913,1.6855080274356142
12,A3TGCN,48.063030818759906,38.89039385041911,39.236168915324185,1.3303907024550687,0.9405787632516158,1.4557020376343064
12,STGCN,52.590507324379196,44.2261464026636,39.41599736426058,1.4578450749610743,1.030003519590786,1.565517395989271
